""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"13773"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"13774"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"13775"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13776"	"Bacteria"	"Planctomycetota"	"BD7-11"	NA	NA	NA	NA
"13777"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13778"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"KI89A clade"	NA	NA
"13779"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"SAR116 clade"	NA	NA
"13780"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"13781"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13782"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13783"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13784"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"13785"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13786"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	NA	NA	NA
"13787"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13788"	"Bacteria"	"Bdellovibrionota"	"Oligoflexia"	"Oligoflexales"	"Oligoflexaceae"	NA	NA
"13789"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13790"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13791"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13792"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13793"	"Bacteria"	"Patescibacteria"	"Dojkabacteria"	NA	NA	NA	NA
"13794"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13795"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13796"	"Bacteria"	"Patescibacteria"	"ABY1"	NA	NA	NA	NA
"13797"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13798"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"13799"	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	NA	NA
"13800"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13801"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13802"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	NA	NA	NA	NA
"13803"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13804"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13805"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13806"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13807"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13808"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium sensu stricto 9"	NA
"13809"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13810"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13811"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13812"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13813"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13814"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidetes BD2-2"	NA	NA
"13815"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13816"	"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"Desulfosarcinaceae"	NA	NA
"13817"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"13818"	"Bacteria"	"Verrucomicrobiota"	"Omnitrophia"	"Omnitrophales"	"Omnitrophaceae"	"Candidatus Omnitrophus"	NA
"13819"	"Bacteria"	"Bacteroidota"	"Ignavibacteria"	"Ignavibacteriales"	"Melioribacteraceae"	"IheB3-7"	NA
"13820"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"13821"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13822"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13823"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	NA	NA	NA
